year,Impact,Location
2000,36087,Los Angeles
2001,139,Los Angeles
2002,6488,Los Angeles
2003,27894,Los Angeles
2004,15487,Los Angeles
2005,1410,Los Angeles
2006,585,Los Angeles
2007,650991,Los Angeles
2008,55320,Los Angeles
2009,455,Los Angeles
2011,6105,Los Angeles
2012,2847,Los Angeles
2013,2375,Los Angeles
2014,429,Los Angeles
2015,13364,Los Angeles
2016,8452,Los Angeles
2017,12304,Los Angeles
2018,253240,Los Angeles
2019,1265,Los Angeles
2021,61857,Los Angeles
2022,2402,Los Angeles
2023,8497,Los Angeles
2024,3239,Los Angeles
2025,519,Los Angeles
